,direccion_x,barrio,metraje,$_m2,latitude,longitude
0,Av. Diaz Velez 4200,Almagro,88.0,1960.22727273,-34.6087789,-58.4260379
1,Av. Diaz Velez 4200,Almagro,60.0,1950.0,-34.6087789,-58.4260379
2,Av. Diaz Velez 4200,Almagro,35.0,2228.57142857,-34.6087789,-58.4260379
3,Av. Diaz Velez 4200,Almagro,46.0,2121.73913043,-34.6087789,-58.4260379
4,Trelles 1800,Caballito,45.0,1666.66666667,-34.62056079999999,-58.3945161
5,Trelles 1800,Caballito,56.0,2125.0,-34.62056079999999,-58.3945161
6,Trelles 1800,Caballito,90.0,1544.44444444,-34.62056079999999,-58.3945161
7,Trelles 1800,Caballito,38.0,1710.52631579,-34.62056079999999,-58.3945161
8,Trelles 1800,Caballito,58.0,1896.55172414,-34.62056079999999,-58.3945161
9,Bertres 500,Caballito,48.0,2187.5,-34.6246479,-58.438249899999995
10,Bertres 500,Caballito,47.0,2234.04255319,-34.6246479,-58.438249899999995
11,Doblas 500,Caballito,33.0,2242.42424242,-34.6224332,-58.430675
12,Doblas 500,Caballito,33.0,2181.81818182,-34.6224332,-58.430675
13,Doblas 500,Caballito,105.0,1895.23809524,-34.6224332,-58.430675
14,Doblas 500,Caballito,70.0,1685.71428571,-34.6224332,-58.430675
15,Doblas 500,Caballito,37.0,2621.62162162,-34.6224332,-58.430675
16,Andres Arguibel 2800,Las Cañitas,38.0,2800.0,-34.571492,-58.4291073
17,Andres Arguibel 2800,Las Cañitas,70.0,2773.71428571,-34.571492,-58.4291073
18,Andres Arguibel 2800,Las Cañitas,58.0,3261.20689655,-34.571492,-58.4291073
19,Andres Arguibel 2800,Las Cañitas,112.0,3072.32142857,-34.571492,-58.4291073
20,Andres Arguibel 2800,Las Cañitas,38.0,3600.0,-34.571492,-58.4291073
21,Andres Arguibel 2800,Las Cañitas,38.0,3250.0,-34.571492,-58.4291073
22,Andres Arguibel 2800,Las Cañitas,70.0,3088.57142857,-34.571492,-58.4291073
23,Andres Arguibel 2800,Las Cañitas,83.0,2987.95180723,-34.571492,-58.4291073
24,Andres Arguibel 2800,Las Cañitas,38.0,3050.0,-34.571492,-58.4291073
25,Andres Arguibel 2800,Las Cañitas,38.0,3400.0,-34.571492,-58.4291073
26,Andres Arguibel 2800,Las Cañitas,38.0,3200.0,-34.571492,-58.4291073
27,Concepcion Arenal 3400,Palermo Hollywood,40.0,2415.575,26.0112014,-80.1494901
28,Concepcion Arenal 3400,Palermo Hollywood,64.0,1509.734375,26.0112014,-80.1494901
29,"Garay, Juan De, Avda. 4000",Boedo,70.0,1642.85714286,-34.631908700000004,-58.4204673
30,"Garay, Juan De, Avda. 4000",Boedo,71.0,1478.87323944,-34.631908700000004,-58.4204673
31,"Garay, Juan De, Avda. 4000",Boedo,71.0,1408.45070423,-34.631908700000004,-58.4204673
32,Formosa 0,Caballito,54.0,2111.11111111,-34.62129229999999,-58.435167099999994
33,Formosa 0,Caballito,52.0,1942.30769231,-34.62129229999999,-58.435167099999994
34,Formosa 0,Caballito,52.0,1980.76923077,-34.62129229999999,-58.435167099999994
35,Formosa 0,Caballito,52.0,2019.23076923,-34.62129229999999,-58.435167099999994
36,Formosa 0,Caballito,52.0,2153.84615385,-34.62129229999999,-58.435167099999994
37,Formosa 0,Caballito,71.0,1901.4084507,-34.62129229999999,-58.435167099999994
38,Formosa 0,Caballito,52.0,2173.07692308,-34.62129229999999,-58.435167099999994
39,Formosa 0,Caballito,54.0,2203.7037037,-34.62129229999999,-58.435167099999994
40,Formosa 0,Caballito,80.0,2125.0,-34.62129229999999,-58.435167099999994
41,"Carabobo, Avda. 400",Caballito,76.0,1480.26315789,-34.631495799999996,-58.45437070000001
42,"Carabobo, Avda. 400",Caballito,53.0,1481.13207547,-34.631495799999996,-58.45437070000001
43,"Carabobo, Avda. 400",Caballito,76.0,1500.0,-34.631495799999996,-58.45437070000001
44,"Carabobo, Avda. 400",Caballito,76.0,1519.73684211,-34.631495799999996,-58.45437070000001
45,"Carabobo, Avda. 400",Caballito,76.0,1565.78947368,-34.631495799999996,-58.45437070000001
46,"Carabobo, Avda. 400",Caballito,53.0,1500.0,-34.631495799999996,-58.45437070000001
47,"Carabobo, Avda. 400",Caballito,53.0,1594.33962264,-34.631495799999996,-58.45437070000001
48,"Carabobo, Avda. 400",Caballito,43.0,1546.51162791,-34.631495799999996,-58.45437070000001
49,"Carabobo, Avda. 400",Caballito,43.0,1593.02325581,-34.631495799999996,-58.45437070000001
50,"Carabobo, Avda. 400",Caballito,43.0,14744.0697674,-34.631495799999996,-58.45437070000001
51,"Carabobo, Avda. 400",Caballito,43.0,14311.5116279,-34.631495799999996,-58.45437070000001
52,"Carabobo, Avda. 400",Caballito,53.0,1415.09433962,-34.631495799999996,-58.45437070000001
53,"Carabobo, Avda. 400",Caballito,66.0,1424.24242424,-34.631495799999996,-58.45437070000001
54,"Carabobo, Avda. 400",Caballito,76.0,1546.05263158,-34.631495799999996,-58.45437070000001
55,"Carabobo, Avda. 400",Caballito,76.0,1592.10526316,-34.631495799999996,-58.45437070000001
56,"Carabobo, Avda. 400",Caballito,53.0,1547.16981132,-34.631495799999996,-58.45437070000001
57,"Carabobo, Avda. 400",Caballito,43.0,1500.0,-34.631495799999996,-58.45437070000001
58,Valle 100,Caballito,39.0,1820.51282051,-34.623828100000004,-58.4287821
59,Valle 100,Caballito,50.0,1780.0,-34.623828100000004,-58.4287821
60,Valle 100,Caballito,48.0,1791.66666667,-34.623828100000004,-58.4287821
