	direccion	latitude	longitude
0	Av. Díaz Vélez 4200, Almagro	-34.6087789	-58.4260379
1	Trelles 1800, Caballito	-34.6205608	-58.3945161
2	Bertres 500, Caballito	-34.6246479	-58.4382499
3	Doblas 500, Caballito	-34.6224332	-58.430675
4	Andrés Arguibel 2800, Las Cañitas	-34.571492	-58.4291073
5	Concepción Arenal 3400, Palermo Hollywood	26.0112014	-80.1494901
6	Garay, Juan De, Avda. 4000, Boedo	-34.6319087	-58.4204673
7	Formosa 0, Caballito	-34.6212923	-58.4351671
8	Carabobo, Avda. 400, Caballito	-34.6314958	-58.45437070000001
9	Valle 100, Caballito	-34.6238281	-58.4287821
10	Rio De Janeiro 200, Caballito	-34.6070586	-58.4305864
0	Puan 0, Caballito	-34.6264069	-58.4474819
1	Pergamino 300, Flores	-34.6496406	-58.4606067
2	Gurruchaga 600, Villa Crespo	-34.5963249	-58.4404549
3	Guemes 3500, Palermo	-34.5894759	-58.4126969
4	Fitz Roy 2300, Palermo Hollywood	26.0112014	-80.1494901
5	San Juan, Av. 800, San Telmo	-34.62203	-58.3771776
6	Rivadavia, Av. 1500, Congreso	-31.5622783	-68.5437722
7	La Plata, Avda. 1200, Boedo	37.2456033	-107.8769631
8	Independencia, Av. 1300, San Cristobal	-33.4209767	-70.6405787
9	Directorio, Avda. 400, Caballito	-34.627798	-58.4323217
0	Chile 2000, San Cristobal	-23.5499999	-69.5499999
1	Chacabuco 900, San Telmo	-34.6184775	-58.3757792
2	Guardia Vieja 3700, Almagro	-34.6015859	-58.4162409
3	Medina, Anacleto 0, Villa Luro	-34.6389789	-58.50011499999999
4	Av. Eva Perón 1300, Parque Chacabuco	-34.6319659	-58.4432619
5	Combate De Los Pozos 1000, Monserrat	-34.6202698	-58.39319279999999
6	Melincue 2500, Villa del Parque	-34.5979726	-58.4856393
7	Venezuela 3500, Almagro	-26.3853528	-70.0482448
8	Avenida Estado De Israel 4600, Almagro	-34.5996962	-58.4300165
9	Soler 3300, Recoleta	-34.5952217	-58.4129534
0	Av. Independencia 4100, Boedo	-34.6215308	-58.4237151
1	Otamendi 200, Caballito	-34.6147089	-58.4323229
2	Estados Unidos 3000, Boedo	-34.6230208	-58.4220358
3	Franklin Roosevelt 3100, Belgrano	-34.5613372	-58.4669678
4	Deheza 3000, Saavedra	-32.7596166	-63.7885671
5	Avenida Del Libertador 5700, Belgrano	-34.5597539	-58.4453168
6	Guatemala 5700, Palermo Hollywood	26.0112014	-80.1494901
7	Jerónimo Salguero 2600, Palermo	-34.5811007	-58.4097933
8	Paraguay 3900, Palermo	-25.3748673	-57.6026856
9	Manuela Pedraza 3300, Coghlan	-34.5558959	-58.4738269
0	Avenida Cerviño 3500, Palermo	-34.5754678	-58.4223629
1	Camargo 700, Villa Crespo	-34.5991379	-58.4417419
2	Av Monroe 4200, Belgrano	-34.5656216	-58.4714737
3	Vuelta De Obligado 2400, Belgrano	-34.5588461	-58.4580659
4	Donado 4400, Saavedra	-34.5522319	-58.4907849
5	Avenida Melián 2500, Belgrano	-34.5694347	-58.4668232
6	Curapaligüe 100, Caballito	-34.6267648	-58.45339069999999
7	Pedro Echagüe 1700, Parque Patricios	-34.637701	-58.4002165
8	Arias 3100, Saavedra	-34.5446169	-58.4799039
9	Castro 1100, Boedo	-34.6259189	-58.4201279
0	Humahuaca 3800, Almagro	-34.6023559	-58.4177619
1	Campichuelo 0, Caballito	-34.6155202	-58.4334048
2	Araoz 900, Villa Crespo	-34.5964219	-58.4318199
3	Avalos 1300, Parque Chas	-34.5852609	-58.4771429
4	Araoz 200, Villa Crespo	-34.6013089	-58.4395059
5	Larrazabal, Av. 1600, Mataderos	-34.6588808	-58.4942216
6	Senillosa 400, Caballito	-34.6207448	-58.4294333
7	Padilla 900, Villa Crespo	-34.5982329	-58.4446699
8	Potosi 4300, Almagro	-34.6073926	-58.4278377
9	Doblas 900, Parque Chacabuco	-34.6396007	-58.4264216
0	Pueyrredon, Av. 600, Balvanera	-34.6034979	-58.4053189
1	Viamonte 1300, Tribunales	-34.6021932	-58.385928810874
2	Cordoba 3100, Palermo	-31.3752885	-64.1487951
3	Alfredo Bufano 1000, Flores	-34.6191799	-58.4671709
4	Malabia 1900, Palermo Soho	-34.5889319	-58.4244349
5	Juan De Dios Filiberto 1000, Boca	-34.6373404	-58.364194
6	Thames 600, Villa Crespo	-34.5945539	-58.4420659
7	Dr. Romulo Naon 3500, Nuñez	-34.5574837	-58.4806697
8	José Ignacio Gorriti 3700, Barrio Norte	0	0
9	Guemes 3000, Palermo	-34.5867221	-58.416548
0	Ravignani 1400, Palermo Hollywood	26.0112014	-80.1494901
1	Jorge Newbery 3400, Palermo Hollywood	26.0112014	-80.1494901
2	Darwin 1200, Villa Crespo	-34.5896639	-58.4398929
3	Sinclair 3100, Palermo	-34.574037	-58.4230509
4	Virrey Olaguer Y Feliú 2400, Belgrano	-34.5684586	-58.4532677
5	Araoz 2300, Palermo	-34.5875549	-58.4181199
6	Soldado De La Independencia 700, Las Cañitas	-34.5680743	-58.4337015
7	Costa Rica 5400, Palermo Hollywood	26.0112014	-80.1494901
8	Avenida Álvarez Thomas 900, Colegiales	-34.5815432	-58.4481846
9	Rio De Janeiro 600, Caballito	-34.6070586	-58.4305864
0	Avenida General Las Heras 3800, Barrio Norte	-34.5872097	-58.3975221
1	Cabildo 2800, Belgrano	-38.9714557	-68.0550264
2	Remedios Escalada De San Martín 900, Villa Crespo	-34.603601	-58.4551786
3	Bahia Blanca 2100, Villa del Parque	-38.6894184	-62.2806536
4	Manuela Pedraza 1700, Nuñez	-34.5479476	-58.459514
5	Naon Romulo 3500, Saavedra	-34.5551609	-58.482381
6	Soler 3200, Barrio Norte	-34.5969044	-58.4103982
7	Bogotá 100, Caballito	-34.6129963	-58.432641
8	José Ignacio Gorriti 3700, Palermo	38.1156879	13.3612671
9	Oro 2600, Palermo	-34.5848691	-58.4293905
0	Blanco Encalada 3000, Belgrano	-34.5627584	-58.4648829
1	Avenida Doctor Honorio Pueyrredón 500, Caballito	-34.6142026	-58.4410482
2	Zuviria 800, Caballito	-34.6298499	-58.4368596
3	Eduardo Holmberg 4100, Saavedra	0	0
4	Avenida Juan B Justo 3600, Villa Crespo	-34.6021508	-58.4549692
5	Franklin Roosevelt 3100, Coghlan	-34.5627314	-58.4694657
6	Coronel Niceto Vega 5600, Palermo Hollywood	26.0112014	-80.1494901
7	Cachimayo 700, Caballito	-34.6212873	-58.4427503
8	Miralla 1000, Mataderos	-34.6480189	-58.5009929
9	Vallejos 3300, Villa Devoto	-34.6002816	-58.5208827
0	Pedro Lozano 2900, Villa del Parque	-34.5991183	-58.4913591
1	Av. Directorio 3400, Floresta	-34.6372933	-58.4733609
2	San Blas 2700, Villa Del Parque	-34.6100656	-58.4787109
3	Alberdi, Juan B., Av. 4300, Velez Sarsfield	-34.6404618	-58.48607130000001
4	Justo, Juan B. Avda. 2300, Villa Crespo	-34.5929866	-58.4417051
5	Liniers, Virrey 1200, Boedo	-34.6251274	-58.41353950000001
6	Humberto 1 3000, San Cristobal	-34.6238941	-58.4114318
7	Vera 800, Villa Crespo	-34.5920567	-58.4443036
8	Estado De Israel, Av. 4300, Almagro	-34.5980638	-58.4266206
9	Avda. De Libertador 5700, Belgrano	0	0
0	Balbin, Ricardo, Dr. Av. 4300, Saavedra	-34.555257	-58.492172
1	Bertres 300, Caballito	-34.6247905	-58.4383685
2	Av Pedro Goyena 1600, Caballito	-34.6282469	-58.4501629
3	Salguero, Jeronimo 700, Almagro	-34.602117	-58.4194
4	Córdoba, Av. 2400, Barrio Norte	-31.2999451	-64.1779023
5	Directorio, Avda. 1000, Caballito	-34.629193	-58.44173189999999
6	Del Barco Centenera 600, Caballito	-34.6276562	-58.4402973
7	Alberdi, Juan B., Av. 1500, Caballito	-34.6259838	-58.4491145
8	Av. Acoyte 700, Caballito	-34.6109309	-58.4393374
9	Castro Barros 500, Almagro	-34.6174871	-58.4196267
0	Directorio, Avda. 1500, Caballito	-34.6301789	-58.44821570000001
1	Colombres 1000, Almagro	-34.6147217	-58.4186299
2	Acevedo, Eduardo 200, Caballito	-34.6137286	-58.4309141
3	Castro Barros 1100, Boedo	-34.6355203	-58.4179124
4	Julián Álvarez 600, Villa Crespo	-34.59935	-58.4342636
5	Avenida José María Moreno 300, Caballito	-34.6211309	-58.4350929
6	Vera 900, Villa Crespo	-34.5956359	-58.4410419
7	Quesada 2000, Nuñez	-34.5522263	-58.4589725
8	Moldes 2800, Belgrano	-33.6195437	-64.5986551
9	Castillo 1100, Villa Crespo	-34.5913199	-58.4390629
0	Juana Azurduy 2500, Nuñez	-34.5514946	-58.4676483
1	Curapaligue 0, Caballito	-34.6256271	-58.4540051
2	Formosa 200, Caballito	-34.6209809	-58.4309541
3	Avenida Jujuy 900, San Cristobal	-34.619732	-58.4030639
4	Roosvelt 3600, Belgrano	-34.5644796	-58.4722969
5	Galicia 700, Villa Crespo	-34.6052509	-58.4503879
6	Cabrera 3900, Palermo	-34.5965638	-58.4213783
7	Cordoba 5100, Palermo	-31.3752885	-64.1487951
8	Avenida Acoyte 900, Caballito	-34.6159942	-58.4375261
9	Hortiguera 0, Caballito	-34.6239094	-58.4468556
0	Jufre 100, Palermo	-34.5982719	-58.4300449
1	Lavalleja 900, Villa Crespo	-34.5980979	-58.4302649
2	Hidalgo 700, Caballito	-34.6114192	-58.4408657
3	Ramsay 1800, Belgrano	-34.5539897	-58.4382745
4	Azopardo 1300, San Telmo	-34.6240629	-58.3666145
5	Zapiola 4500, Saavedra	-34.5451519	-58.4785199
6	Naon, Romulo S., Dr. 2900, Coghlan	-34.562809	-58.47675959999999
7	Superi 4300, Saavedra	-34.5488025	-58.4821834
8	Ruiz Huidobro 4600, Saavedra	-34.5446099	-58.4715277
9	Lezica 4400, Caballito	-34.613297	-58.4280574
0	Parque Chacabuco 1300, Parque Chacabuco	-34.6383679	-58.4387011
1	Villarroel 1300, Villa Crespo	-34.5928879	-58.4450429
2	Darwin 900, Saavedra	-37.6134405	-62.4029237
3	Guevara 200, Chacarita	-34.5879342	-58.4479945
4	Bonifacio, Jose 600, Caballito	-34.6271048	-58.4358526
5	Vega, Niceto, Cnel. 5600, Palermo Hollywood	26.0112014	-80.1494901
6	Scalabrini Ortiz, Raul, Av. 1400, Palermo Soho	-34.5921704	-58.42697769999999
7	Laferrere, Greg. De 1300, Caballito	0	0
8	Guayaquil 0, Caballito	-34.6204613	-58.4354776
9	Nuñez 1600, Nuñez	-34.5459265	-58.4597341
0	Centenera 400, Caballito	-34.6237369	-58.4406359
1	Directorio, Avda. 3200, Flores	-32.9977545	-60.6466663
2	Boedo, Avda. 500, Almagro	-34.618522	-58.4167259
3	Hortiguera 300, Caballito	-34.6257329	-58.4459609
4	Malvinas Argentinas 400, Caballito	-34.62817	-58.4503507
5	Emilio Mitre 600, Caballito	-34.6292219	-58.4428139
6	Cerviño, Av 3800, Palermo	-34.581699	-58.4048436
7	Directorio, Avda. 3800, Floresta	-34.6397482	-58.4774348
8	Irigoyen, Bernardo De 1300, San Telmo	-34.623787	-58.3795666
9	Avenida Crisólogo Larralde 2400, Nuñez	-34.5455899	-58.4614247
0	Santos Dumont 2400, Belgrano	-34.5733548	-58.4383881
1	Av Pueyrredon 600, Balvanera	-34.6034979	-58.4053189
2	Nicaragua 5600, Palermo Hollywood	26.0112014	-80.1494901
3	Ciudad De La Paz 1200, Belgrano	-34.5693632	-58.4499724
4	Jaranillo 3400, Saavedra	-34.5527373	-58.47751869999999
5	Francisco Acuña De Figueroa 1300, Palermo Soho	-34.5965018	-58.4216118
6	Monroe 4100, Villa Urquiza	-34.5700692	-58.4790573
7	Avenida Juan B Justo 5800, Flores	-34.6192093	-58.4770365
8	Blanco Encalada 3600, Coghlan	-34.5668092	-58.4718434
9	Avenida Cabildo 3900, Belgrano	-34.5476079208333	-58.4695223111111
0	Avenida Congreso 4900, Villa Urquiza	-34.5685439	-58.4876689
1	Virrey Del Pino 2800, Belgrano	-34.5685811	-58.4563636
2	Franklin Roosevelt 3000, Belgrano	-34.5608289	-58.4659109
3	Avenida Cordoba 5800, Palermo	-34.5862439	-58.4424271
4	Jorge Newbery 3900, Palermo	-34.5681496	-58.4355045
5	Soldado De La Independencia 900, Belgrano	-34.5630455	-58.4419194
6	Tacuari 1300, San Telmo	-34.62359989999999	-58.37864450000001
7	Leopoldo Marechal 1300, Villa Crespo	-34.6037329	-58.4407249
8	Naon 3500, Belgrano	-34.5574837	-58.4806697
9	Terrada 1800, Villa del Parque	-34.5993207	-58.4897398
0	Jose Hernandez 1400, Belgrano	-34.5599068	-58.4432227
1	Pedraza, Manuela 3700, Coghlan	-34.5578457	-58.4777517
2	Goyena, Pedro, Avda. 1500, Caballito	-34.6277772	-58.4484023
3	Mexico 1600, San Cristobal	30.1396667	-110.2678332
4	Baez 600, Las Cañitas	-34.5704407	-58.4341082
5	Bonifacio, Jose 2200, Flores	-22.7891119	-43.3668415
6	Roosevelt, Franklin 3600, Coghlan	-34.5644796	-58.4722969
7	Larrea 700, Barrio Norte	-34.5963977	-58.4015964
8	Av. Eva Perón 3700, Floresta	-34.6460103	-58.467123
9	Caballito 400, Caballito	-34.6613504	-58.7687911
0	Yerbal 1200, Caballito	-34.6217679	-58.4474319
1	Urquiza, Gral. 1400, San Cristobal	-34.6273346	-58.4085669
2	San Jose De Calasanz 600, Caballito	-34.6259859	-58.4375619
3	Caballito 300, Caballito	-34.6371856	-58.4391617
4	Vera 400, Villa Crespo	-34.5999806	-58.4369294
5	Repetto, Nicolas 0, Caballito	-34.6198938	-58.44328019999999
6	Del Temple 2600, Parque Chas	-34.5834679	-58.4760509
7	Pola 0, Villa Luro	-34.6392521	-58.5129403
8	Manuel Artigas 6500, Mataderos	-34.6542129	-58.5073759
9	Cabrera 3900, Palermo Soho	-34.5965638	-58.4213783
0	General Ramón Freire 2500, Belgrano	-34.562965	-58.4675045
1	Deheza 3100, Saavedra	-32.7596166	-63.7885671
2	Quesada 3200, Coghlan	-34.561341	-58.4764698
3	Zabala 2500, Belgrano	-34.5691649	-58.4498509
4	José Hernández 2700, Belgrano	-34.5673629	-58.4560969
5	Avenida Rivadavia 3300, Balvanera	-34.6107697	-58.4129131
6	Dean Funes 1100, San Cristobal	-34.6228762	-58.4058771
7	Soler 4400, Palermo Soho	-34.5894813	-58.4221005
8	Olazabal 5400, Villa Urquiza	-34.5786029	-58.4893169
9	Avenida Corrientes 4700, Villa Crespo	-34.5969173	-58.4419638
0	Avenida Corrientes 4900, Villa Crespo	-34.6012894	-58.4348963
1	Avenida Corrientes 3500, Almagro	-34.6041725	-58.4144192
2	Avenida Corrientes 4400, Villa Crespo	-34.5969173	-58.4419638
3	Julian Alvarez 2200, Palermo Viejo	0	0
4	Pringles 800, Almagro	-34.6026929	-58.4272069
5	Avenida Eva Perón 1100, Caballito	-34.6301391	-58.4408567
6	Fitz Roy 1400, Palermo Hollywood	26.0112014	-80.1494901
7	Cerviño 3500, Palermo	-34.5805068	-58.4084137
8	Soler 6000, Palermo Hollywood	26.0112014	-80.1494901
9	Avenida Congreso 1900, Nuñez	-34.553424	-58.4586454
0	Cordoba 5500, Palermo Hollywood	26.0112014	-80.1494901
1	Avenida Gaona 1200, Caballito	-34.6078379	-58.4463757
2	Peru 1600, San Telmo	-34.6266252	-58.3737848
3	Sanchez De Bustamante 300, Almagro	-34.60596	-58.415038
4	Coronel Ramón Falcón 3400, Flores	-34.6336529	-58.4751013
5	Cordoba 2900, Recoleta	-34.5981618	-58.4080747
6	Jaramillo 3400, Nuñez	-34.5475666	-58.4676782
7	Peru 1600, Barracas	-34.626956	-58.3737929
8	Arengreen 600, Caballito	-34.6116038	-58.4447578
9	Camarones 1500, Villa General Mitre	-34.6039339	-58.4626549
0	Vidal 2200, Belgrano	-34.5634459	-58.4611544
1	20 De Septiembre 100, Boca	-34.6275597	-58.3605425
2	Cespedes 3600, Colegiales	-34.5696636	-58.4492265
3	Bauness 1900, Villa Urquiza	-34.5801799	-58.4829429
4	Iberá 2400, Nuñez	-34.5534766	-58.4642128
5	Virrey Avilés 2700, Belgrano	-34.5686538	-58.4547361
6	11 De Septiembre De 1888 2700, Belgrano	-34.5534151	-58.4557611
7	J. A. Cabrera 4700, Palermo Soho	-34.5921978	-58.4291666
8	Av. Francisco Beiro 4500, Villa Devoto	-34.6074056	-58.5140713
9	Guardia Nacional 0, Villa Luro	-34.6413479	-58.5014121
0	Bonifacio, Jose 2300, Flores	-22.7891119	-43.3668415
1	Gascon 1500, Palermo	-34.5930757	-58.4228023
2	Beruti 2800, Recoleta	-34.5913139	-58.4041939
3	Ciudad De La Paz 100, Belgrano	-34.5567007	-58.4627647
4	Olleros 1700, Belgrano	-34.5619601	-58.434902
5	Holmberg 2700, Coghlan	-34.5670573	-58.4789298
6	Avenida Cramer 2400, Belgrano	-34.5621913	-58.4637435
7	Peña 2500, Barrio Norte	-34.5893839	-58.3997559
8	Av. San Juan 1800, San Cristobal	-34.6228479	-58.3913069
9	Humboldt 2400, Palermo Hollywood	26.0112014	-80.1494901
0	Virrey Del Pino 2600, Belgrano	-34.5675809	-58.4545338
1	Arcos 2700, Belgrano	-34.5550216	-58.4586094
2	Arribeños 2800, Belgrano	-34.5519831	-58.4554289
3	Yerbal 2100, Flores	-34.626476	-58.4593192
4	Catamarca 1000, San Cristobal	-34.625444	-58.4031511
5	Gurruchaga 2400, Palermo	-34.5833718	-58.4213799
6	San Juan 4200, Boedo	-34.626917	-58.425295
7	Av. Regimiento De Patricios 200, Barracas	-34.631591	-58.370191
8	Av. San Juan 2300, Boedo	-34.6264242	-58.4228235
