	direccion	latitude	longitude
0	Yerbal 2500, Flores	-34.6256109	-58.4573843
1	Repetto 0, Caballito	-34.6156558	-58.4452235
2	Colombres 100, Almagro	-34.6126859	-58.4190749
3	Arcos 2800, Belgrano	-34.5540654	-58.4594424
4	Caãada De Gomez 1500, Mataderos		
0	Esquina 2600, Villa Devoto	-34.6170774	-58.52269459999999
1	Montañeses 3100, Nuñez	-34.548395	-58.457494386535
2	Avenida Del Libertador 8300, Nuñez	-34.5393346	-58.4649436
3	Avenida Corrientes 3800, Almagro	-34.6036162	-58.417949
4	Gascon 1100, Palermo	-34.5979868	-58.4234967
5	Avenida Corrientes 1700, San Nicolás	-34.6044331	-58.3907005
6	Larrea 1000, Recoleta	-34.5964939	-58.4017709
7	Directorio, Avda. 5700, Mataderos	-34.6554315	-58.4963282
8	Quesada 5900, Villa Urquiza	-34.5745048	-58.5014872
9	Av. Acoyte 1200, Villa Crespo	-34.605306	-58.4410547
0	Corrientes, Avda. 4500, Villa Crespo	-34.6026324	-58.428399
1	Catamarca 700, San Cristobal	-34.625444	-58.4031511
2	Eyle, Petrona 300, Puerto Madero	-34.6148856	-58.3633783
3	Guevara, Trinidad 500, Puerto Madero	-34.6031855	-58.36362249999999
4	Alvarez Thomas, Avda. 1100, Colegiales	-34.57868120000001	-58.45692870000001
5	Uriarte 2200, Palermo Soho - Palermo	-34.5833059	-58.4261989
6	Humboldt 2400, Palermo Soho - Palermo	-34.5793322	-58.4291635
7	Guayaquil 500, Caballito	-34.6204889	-58.4353805
8	Rivadavia 5000, Caballito	-34.6183202	-58.4362896
9	Castro Barros 300, Almagro	-34.6157994	-58.4200033
0	Callao 200, Barrio Norte	-34.6094225	-68.2972549
1	Pacheco De Melo 2000, Recoleta	-34.5909274	-58.394947
2	Avenida Del Libertador 1000, Recoleta	-34.5867142	-58.3858495
3	Callao 1300, Recoleta	-11.8251163	-77.1301088
4	Paraguay 1900, Recoleta	-25.2979094	-57.5859567544789
5	Marta Salotti 500, Puerto Madero	-34.6133852	-58.3614214
6	Charcas 4700, Palermo	-34.5815199	-58.4261959
7	Avenida Diaz Coronel 1500, Palermo	-34.5930456	-58.41352569999999
8	Cerviño 3400, Palermo	-34.5810167	-58.4072049
9	Borges 2400, Palermo	-34.5828371	-58.4221113
0	Dorrego 2200, Palermo	-34.5775588	-58.4388863
1	Beruti Antonio Luis 3800, Palermo	38.1156879	13.3612671
2	Juncal 600, Retiro	-34.5928365	-58.3825089
3	Del Libertador 5700, Belgrano	-26.8197157	-54.9596876
